name,author,version,category,format_version,n_tables,n_models,n_images,n_scripts,n_other,softcodes,has_modfiles,meta_error,tables,path
The Four Sovereign Digimon & Fanglongmon,"CHAOS,AlterX,NIUBI,Arbor",1.5,New digimon,1,29,170,43,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\fanglongmon
BanchoLillymon,"Cyberpro123, Loud Kuyuki, Pherakki",0.1.1,Digimon,1,28,48,18,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\chr486_v011 (2)
Omnimon X,"Cyberpro123, Loud Kuyuki, Pherakki",0.1.1,Digimon,1,0,0,0,0,0,no,yes,,,D:\Mateus\Modding Digimon\ultimateOmegamon\process\X
WereGarurumon Sagittarius Mode,Echodex & Mojoceramon,1,New Digimon,1,0,33,23,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\v2_red
BanchoLeomon BM,Echodex & Mojoceramon (Texture),1,Digimon,1,25,4,13,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\bancholeomon_bm
ChronoCore Duo: ChaosGallantmon & Ophanimon Core,"Echodex, GuilTronPrime (Texture), Mojoceramon (Texture)",1,Digimon,1,26,12,36,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\chrono_core_duo
GrandMaster Tyrannomon,FloOfMagic & Mojoceramon,0.1,New Digimon,1,24,32,112,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\Mateus\Modding Digimon\grandmaster_tyrannomon\gmtyrano_mod\1st part
GrandMaster Tyrannomon,FloOfMagic & Mojoceramon,0.1,New Digimon,1,24,40,112,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\Mateus\Modding Digimon\grandmaster_tyrannomon\gmtyrano_mod\1st part\GMT2
GrandMaster Tyrannomon,FloOfMagic & Mojoceramon,0.1,New Digimon,1,24,40,115,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\Mateus\Modding Digimon\grandmaster_tyrannomon\gmtyrano_mod\2nd part (animations)
GrandMaster Tyrannomon,FloOfMagic & Mojoceramon,0.1,New Digimon,1,24,40,115,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\Mateus\Modding Digimon\grandmaster_tyrannomon\last version
GrandMaster Tyrannomon,FloOfMagic & Mojoceramon,0.1,New Digimon,1,24,40,115,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\GMT2
Sistermon model replace,Gar0uPhoenix & Mojoceramon,0.1,New Digimon,1,0,8,37,0,0,no,yes,,,D:\Mateus\Modding Digimon\SISTERMONS\sistermons mod\model replacement
Sistermon mods,Gar0uPhoenix & Mojoceramon,0.1,New Digimon,1,25,184,71,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\Mateus\Modding Digimon\SISTERMONS\sistermons mod
Sistermon mods,Gar0uPhoenix & Mojoceramon,0.1,New Digimon,1,25,184,71,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\qsistermons mod
Sistermon mods,Gar0uPhoenix & Mojoceramon,0.1,New Digimon,1,25,184,71,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\sistermons mod
Sistermon mods,Gar0uPhoenix & Mojoceramon,0.1,New Digimon,1,25,184,71,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\wsistermons mod
Nicole ZZZ,Hexer,1.0,Digimon,1,0,4,14,0,0,no,yes,,,D:\Mateus\Modding Digimon\ZZZ\mod\nicole zzz
Nicole ZZZ,Hexer,1.0,Digimon,1,0,4,18,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\nicole zzz
Nicole ZZZ 2d face,Hexer,1.0,Digimon,1,0,4,14,0,0,no,yes,,,D:\Mateus\Modding Digimon\ZZZ\mod\nicole zzz\2d face
Nicole ZZZ 2d face,Hexer,1.0,Digimon,1,0,4,14,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\2d face
 corrupted imperialdramon fighter mode,HexerVoodoom,0.1,Recolors,1,1,68,102,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\imperial fm infected
 corrupted imperialdramon fighter mode,HexerVoodoom,0.1,Recolors,1,8,74,102,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|digimon_farm_para/digimon,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\imperial fm infected3
 falcomon,HexerVoodoom,0.1,Recolors,1,0,0,1,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\falcomon
 imperialdramon DragonMode black,HexerVoodoom,0.1,Recolors,1,1,0,2,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\imperialdramon black
Black Uniform Police,HexerVoodoom,0.1,Recolors,1,0,0,5,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\black outfit police
blacktoyagumon,HexerVoodoom,0.1,Digimon Recolors,1,1,0,2,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\blacktoyagumon
Digidestined Mod,HexerVoodoom,0.1,Recolors,1,26,4,9,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|degeneration_para/digimon|digimon_farm_para/digimon|digimon_market_para/table|equip_para/table|evolution_condition_para/digimon|evolution_next_para/digimon|experience_table/table|farm_training/course|farm_training/personality|hacking_skill_condition_exp/Sheet1|hacking_skill_conditions/Condition|item_explanation/Sheet1|item_name/Sheet1|item_para/table|lvup_para/table|mon_para/Monster|mon_para_hard/Monster|personality/Sheet1|personality_para/table|shop_para/lineup|skill_content_name/Sheet1|skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\DigiDestined
DW2 diaboromon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\diaboromon
DW2 meteormon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\meteormon
DW2 seraphimon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\DW2 seraphimon
GranKabuterimon,HexerVoodoom,0.1,Recolors,1,1,0,1,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\GrandKabuterimon
Gururumon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\gururumon
HM Main character triceramon themed clothes,HexerVoodoom,0.1,Recolors,1,0,0,11,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\main character triceramon clothes
Hudie's gang,HexerVoodoom,0.1,Recolors,1,0,0,18,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Hudies gang
Kuzuhumon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\kuzuhumon anubis
Lilithmon,HexerVoodoom,0.1,Digimon Recolors,1,0,0,1,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\black lilithmon
Lotosmon,HexerVoodoom,0.1,Digimon Recolors,1,1,0,1,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\RedLotosmon
mastemon,HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Mastemon
nokia,HexerVoodoom,0.1,Recolors,1,0,0,3,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\mappingtest2
Rina Fighter muscle goddess,HexerVoodoom,1,New digimon,1,30,42,10,2,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|info_message/Sheet1|item_para/table|join_digimon_para/party|m01_t30_0501/Sheet1|m52_t30_2001/Sheet1|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_default_scale/pc|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\rina fighter
shamamon,HexerVoodoom,0.1,Digimon Recolors,1,1,0,1,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\shamamon
yuuko school,HexerVoodoom,0.1,Characters,1,0,0,1,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\school yuuko
